dataset,task,model,encoder,training mode,augmentation,loss,input_size,epochs,batch_size,num_params,trainable_params,gflops,dice_background_test_media,dice_background_test_std,dice_foreground_test_media,dice_foreground_test_std,mDice_test_media,mDice_test_std,iou_background_test_media,iou_background_test_std,iou_foreground_test_media,iou_foreground_test_std,mIoU_test_media,mIoU_test_std,precision_foreground_test_media,precision_foreground_test_std,recall_foreground_test_media,recall_foreground_test_std,best_epoch_media,best_epoch_std,val_mDice_best_media,val_mDice_best_std
HE,segmentacao_binaria,AttentionUNet,custom_from_scratch,FS,False,BCE,256x256,50,8,31389165,31389165,49.3249,0.8588036008161941,0.002611238907116664,0.8125407131365788,0.0009993002835078527,0.835672156016032,0.0017490571205948018,0.7761166438316628,0.003227554351548785,0.7163480042307465,0.0020283474380586998,0.7462323231461607,0.0024761999399390763,0.8257362418704562,0.005391410777486643,0.8448658885595239,0.004525193614847299,32.0,4.0,0.8207742987821499,0.004937203290442217
HE,segmentacao_binaria,AttentionUNet,custom_from_scratch,FS,False,DICE,256x256,50,8,31389165,31389165,49.3249,0.8411221270276993,0.021930277281605435,0.8153011077164132,0.010463455499801523,0.8282116165683593,0.016095246811244128,0.755161424483644,0.025376582317162562,0.7175162707811888,0.013472361748363419,0.7363388471765283,0.019184326330993855,0.8073681544006607,0.011911563373671273,0.8752786033315423,0.01072675473449097,28.666666666666668,2.0816659994661326,0.805474236762772,0.01852132745939651
HE,segmentacao_binaria,AttentionUNet,custom_from_scratch,FS,True,BCE,256x256,50,8,31389165,31389165,49.3249,0.8569005054651679,0.002114267369986074,0.8089543556173643,0.006530915888653301,0.8329274308534316,0.002967623789161534,0.7747371140758242,0.0016843223618488105,0.7131843149754,0.0076036424941294195,0.7439607150024838,0.003601126142577494,0.8278149647845162,0.00888101523439179,0.8395995821803808,0.01725151933416226,34.0,13.74772708486752,0.8161193078073362,0.00456974159129968
HE,segmentacao_binaria,AttentionUNet,custom_from_scratch,FS,True,DICE,256x256,50,8,31389165,31389165,49.3249,0.8410107691806775,0.003558505550982884,0.8121540601974652,0.0033354667631162165,0.8265824151259882,0.0033151571325443336,0.7551953265903356,0.004975902797863675,0.7140990071090652,0.0056657753893884465,0.7346471660850961,0.005313862429887004,0.805959029753267,0.006011019637869976,0.8717399455882885,0.004780542336850485,30.666666666666668,2.516611478423583,0.7970261263350645,0.007947715409447614
HE,segmentacao_binaria,UNetClassica,resnet34,FS,False,BCE,256x256,50,8,24436369,24436369,7.8359,0.8566013109623052,0.0058603152920078585,0.8165140044197072,0.002845663150977743,0.8365576565633586,0.003305986402512262,0.7735044722818988,0.0074413416332342755,0.7190603182076212,0.0034251465361794606,0.7462823946166921,0.004358084922810132,0.8252383539522136,0.0042418122453248336,0.8536198634688777,0.008607033063094861,38.333333333333336,8.504900548115382,0.824894339311868,0.0035463621283059643
HE,segmentacao_binaria,UNetClassica,resnet34,FS,False,DICE,256x256,50,8,24436369,24436369,7.8359,0.8420936892039063,0.0046432714731733625,0.814132273974426,0.002857879645141744,0.8281129817167918,0.0030540216719787618,0.7569194509279856,0.004976536365235179,0.7165837238140312,0.00468724152038941,0.7367515874313719,0.004356449150358967,0.7960779296947114,0.002999916050041677,0.8855217599482448,0.00344285043424542,35.0,8.717797887081348,0.8069789710765084,0.009771734048905493
HE,segmentacao_binaria,UNetClassica,resnet34,FS,True,BCE,256x256,50,8,24436369,24436369,7.8359,0.8554996431057836,0.0013021473631284711,0.8095975651831171,0.0071626665235705106,0.8325486035994542,0.003364813247778588,0.7715247763803712,0.0012879263804422788,0.7110340136333289,0.009326947228039135,0.7412793953845531,0.004619189050462125,0.8327678654664828,0.010605517208841727,0.838020718983593,0.023163053052979745,39.333333333333336,8.504900548115382,0.8162527321837842,0.0021101496383612592
HE,segmentacao_binaria,UNetClassica,resnet34,FS,True,DICE,256x256,50,8,24436369,24436369,7.8359,0.838874083775797,0.010400356932257984,0.8079733677852301,0.002837792125436354,0.8234237254217819,0.005699854262046697,0.7528593729261631,0.012051548649507407,0.7078126397581748,0.003009003995382774,0.7303360050199208,0.006717863633049509,0.8059135876687956,0.015632048969702984,0.8654491678800111,0.018067148487040902,31.666666666666668,11.060440015358038,0.7954843230545521,0.008969374300510216
HE,segmentacao_binaria,UNetClassica,resnet34,PTALL,False,BCE,256x256,50,8,24436369,24436369,7.8359,0.9121395977754376,2.544109467949349e-05,0.894173996720785,0.003627922424312133,0.9031567990779876,0.0018058388186776107,0.8520997252967784,0.0006749817162220199,0.819452207599893,0.0038454831171353876,0.835775966555984,0.0019145839038526913,0.8897299030680715,0.0027688040598534375,0.9109787731258957,0.00758304847897379,37.0,12.489995996796797,0.8834365628038844,0.0008161297457493743
HE,segmentacao_binaria,UNetClassica,resnet34,PTALL,False,DICE,256x256,50,8,24436369,24436369,7.8359,0.9023294498155147,0.003750485733784619,0.8893635846582459,0.001300064408788096,0.8958465200883371,0.0023412037345138885,0.8398397625274496,0.005270115623900487,0.8156865701631263,0.0026631010362500158,0.8277631658830761,0.003947536663054295,0.8785731105892747,0.00481536279004798,0.9175367037455241,0.005407041069685668,26.333333333333332,11.150485789118488,0.8799212062731385,0.005561977137281161
