arquitetura,dataset,modo_treinamento,loss,augmentation,seed,mdice,miou,dice_classe_1,iou_classe_1,precision_classe_1,recall_classe_1
U-Net,OEDB,FS,BCE,True,42,0.8346491223748993,0.7288213074207306,0.7630545275614542,0.6258684984024834,0.7986604233874994,0.7446328701780123
U-Net,OEDB,FS,BCE,True,123,0.8333558326258379,0.7267017566105899,0.7610974272384363,0.6228340800632449,0.7962318943703875,0.7430651490302647
U-Net,OEDB,FS,BCE,True,2025,0.8319602087140083,0.7251798528082231,0.7597023001050248,0.621847201796139,0.7894579154603621,0.7469448004575336
U-Net,OEDB,FS,BCE,False,42,0.8324267697684905,0.7257492288070566,0.7592809467631227,0.621020729708321,0.8013144810410107,0.7367899133002057
U-Net,OEDB,FS,BCE,False,123,0.8308139027041548,0.7224869973519269,0.7590555520180393,0.6196508214754217,0.7792873689356972,0.7529625425882199
U-Net,OEDB,FS,BCE,False,2025,0.832259010304423,0.7266587895505568,0.757917380946524,0.6211225986480713,0.8029756887870676,0.7372276002869886
U-Net,OEDB,FS,DICE,True,42,0.8394746701507008,0.7334361501476344,0.7779590741676443,0.6431117493878392,0.7603497715557322,0.8106245008461616
U-Net,OEDB,FS,DICE,True,123,0.8372176280793022,0.7304861010874019,0.7756266089923242,0.6401994055246606,0.7539922945639667,0.8105253502726555
U-Net,OEDB,FS,DICE,True,2025,0.8356563523411751,0.7279796538984075,0.7737081278772915,0.6372991232749294,0.7530264140051954,0.8097544378217529
U-Net,OEDB,FS,DICE,False,42,0.8387255339938051,0.7342684277716804,0.7724395107258769,0.6390927429584896,0.7716550331781892,0.7889684754259446
U-Net,OEDB,FS,DICE,False,123,0.8389464612392818,0.7336515893830973,0.7751984464771607,0.640566610457266,0.7704966318081407,0.793140256229569
U-Net,OEDB,FS,DICE,False,2025,0.8378704479512047,0.7326173602658159,0.7733743843786857,0.638972119154299,0.7725519082125496,0.7889380459399784
U-Net,HE,FS,BCE,True,42,0.8307123822194559,0.7392885182742719,0.8076927794350518,0.7082618025717912,0.8369609927137692,0.8323173891614984
U-Net,HE,FS,BCE,True,123,0.8293703620080595,0.7381138136541402,0.8079755975968308,0.7094341634048356,0.8300807979371813,0.8420824201570617
U-Net,HE,FS,BCE,True,2025,0.8307420549569307,0.7388312328744817,0.8094001389850207,0.7108235149135537,0.8202483627669237,0.8443796534255078
U-Net,HE,FS,BCE,False,42,0.8389469576102716,0.7495127337950247,0.8151992340399711,0.7178854135141053,0.82976408942982,0.84543097998464
U-Net,HE,FS,BCE,False,123,0.8379413730568356,0.7480088692020487,0.8197793261320503,0.7229182946737166,0.8213533703375746,0.862591564544925
U-Net,HE,FS,BCE,False,2025,0.8327846390229684,0.741325580853003,0.8145634530871003,0.7163772464350417,0.8245976020892462,0.8528370458770681
U-Net,HE,FS,DICE,True,42,0.8216841375386273,0.7274355128959373,0.8055314904837697,0.7036517429131048,0.8171237692788795,0.8534601385946627
U-Net,HE,FS,DICE,True,123,0.8263778224035546,0.7359868685404459,0.8191057500463945,0.723030528170919,0.7852894315013179,0.9037988943013328
U-Net,HE,FS,DICE,True,2025,0.8269146403780689,0.7359300572563101,0.8121232869448485,0.7135010425139356,0.8035139655073483,0.8741332040616759
U-Net,HE,FS,DICE,False,42,0.8265031364228991,0.733442284056434,0.8109613239765168,0.7115796408443539,0.7959161015020476,0.883160068563841
U-Net,HE,FS,DICE,False,123,0.831635135853732,0.7416872500269501,0.8165091295071222,0.7208717099494404,0.7991554844158667,0.8894720874450824
U-Net,HE,FS,DICE,False,2025,0.8262006728737442,0.7351252282107318,0.8149263684396391,0.7172998206482993,0.7931622031662199,0.8839331238358109
U-Net,OEDB,PTALL,BCE,True,42,0.8503584142993478,0.7524671782465542,0.7847038099870962,0.6569758713902796,0.8197875206961351,0.7668734254205928
U-Net,OEDB,PTALL,BCE,True,123,0.8499372294720482,0.7513870864230043,0.784876290927915,0.6566755140528959,0.8131019543198978,0.7733470294624567
U-Net,OEDB,PTALL,BCE,True,2025,0.8522458545425359,0.7547737736912334,0.7887864586185006,0.6620222376111675,0.8112429590786204,0.7801176973563784
U-Net,OEDB,PTALL,BCE,False,42,0.8451180957696017,0.7444202615057721,0.7784632648177007,0.6480961185606087,0.8042150104747099,0.7684437228257165
U-Net,OEDB,PTALL,BCE,False,123,0.845422337160391,0.7444271594285965,0.7783608844175058,0.6469452428247999,0.8102443310267785,0.762235388817156
U-Net,OEDB,PTALL,BCE,False,2025,0.8443897476091105,0.7438577821149546,0.775894621058422,0.6452131777563516,0.8111780952004826,0.7599492410526556
U-Net,OEDB,PTALL,DICE,True,42,0.8542311809518758,0.7566733298932805,0.795428389135529,0.6699583039564245,0.7916303636396632,0.8120034860775751
U-Net,OEDB,PTALL,DICE,True,123,0.8505446310429012,0.7514709676889813,0.7909157767015345,0.6641766922000576,0.780842690345119,0.8145163291517425
U-Net,OEDB,PTALL,DICE,True,2025,0.8497006148099899,0.750076384667088,0.7890048182624227,0.6613550148904324,0.7832523040911731,0.8104754607467091
U-Net,OEDB,PTALL,DICE,False,42,0.8469996316468015,0.7473993020899156,0.781284511089325,0.6523937223588719,0.8023630849578801,0.7778957313036218
